idplayer;descCountry;idade;kills;deaths;KD
582;br;22;643;702;0.9160
2703;br;;120;131;0.9160
860;br;20;696;760;0.9158
2698;br;21;4131;4514;0.9152
1563;br;32;248;271;0.9151
2471;ar;;342;374;0.9144
2147;br;24;7425;8123;0.9141
2231;br;18;1681;1839;0.9141
1831;br;20;1890;2068;0.9139
334;br;33;516;565;0.9133
2499;br;18;548;600;0.9133
1044;cl;23;2432;2664;0.9129
189;br;;1455;1594;0.9128
2143;br;22;314;344;0.9128
1009;br;18;73;80;0.9125
1912;br;22;625;685;0.9124
2704;br;35;2333;2558;0.9120
2347;br;;124;136;0.9118
2402;ar;;31;34;0.9118
2111;br;;1123;1232;0.9115
1071;br;30;1890;2074;0.9113
1126;br;;154;169;0.9112
1845;br;29;2430;2668;0.9108
1450;br;22;660;725;0.9103
716;br;23;131;144;0.9097
1992;ar;22;2461;2706;0.9095
53;br;23;4094;4503;0.9092
1263;ar;20;20;22;0.9091
2519;br;31;530;583;0.9091
2701;ar;23;140;154;0.9091
1475;ar;22;898;988;0.9089
2312;br;37;6735;7412;0.9087
1928;br;23;109;120;0.9083
156;br;29;2984;3286;0.9081
488;br;22;2624;2890;0.9080
164;br;21;1240;1366;0.9078
421;br;21;187;206;0.9078
968;br;27;1857;2046;0.9076
265;br;24;1951;2150;0.9074
2339;ar;;137;151;0.9073
848;ar;19;528;583;0.9057
2364;br;;911;1006;0.9056
1665;br;;249;275;0.9055
531;ar;34;258;285;0.9053
2671;br;;698;771;0.9053
1543;br;30;3061;3382;0.9051
1742;br;18;19;21;0.9048
652;br;22;3874;4286;0.9039
501;br;;361;400;0.9025
1699;br;19;795;881;0.9024
400;br;;471;522;0.9023
992;br;32;2900;3214;0.9023
149;br;22;475;527;0.9013
1901;br;30;4037;4479;0.9013
1088;br;21;5281;5862;0.9009
1270;br;;200;222;0.9009
1554;br;33;2397;2662;0.9005
2010;br;18;226;251;0.9004
305;br;24;2777;3085;0.9002
2256;br;21;54;60;0.9000
2321;br;15;234;260;0.9000
2419;br;28;3074;3419;0.8991
1991;br;31;2855;3178;0.8984
2086;br;21;53;59;0.8983
595;ar;22;854;951;0.8980
378;br;18;228;254;0.8976
1965;br;36;3095;3449;0.8974
321;br;35;11162;12444;0.8970
747;br;;801;893;0.8970
1748;br;20;347;387;0.8966
2688;br;27;234;261;0.8966
1432;cl;21;589;657;0.8965
113;br;17;623;695;0.8964
865;br;;1669;1863;0.8959
1913;ar;26;1938;2164;0.8956
1995;br;19;4624;5163;0.8956
85;br;20;3104;3467;0.8953
182;br;20;94;105;0.8952
2115;ar;18;111;124;0.8952
1740;br;24;1357;1516;0.8951
2078;ar;24;5745;6420;0.8949
2246;br;20;1426;1595;0.8940
1303;br;28;1432;1602;0.8939
2581;br;19;1464;1640;0.8927
160;br;22;841;943;0.8918
2195;br;28;5203;5836;0.8915
1622;br;22;205;230;0.8913
1693;br;22;123;138;0.8913
1146;br;;1073;1204;0.8912
1607;br;;2223;2495;0.8910
537;br;;359;403;0.8908
87;br;19;2369;2660;0.8906
114;br;32;5554;6236;0.8906
2368;br;19;1425;1600;0.8906
2212;br;43;81;91;0.8901
2266;br;27;461;518;0.8900
2277;br;16;4107;4615;0.8899
2501;br;22;1691;1901;0.8895
1433;br;;480;540;0.8889
2121;br;23;128;144;0.8889
151;br;45;279;314;0.8885
1959;br;24;1878;2114;0.8884
2285;br;27;1274;1434;0.8884
1658;br;21;358;403;0.8883
1378;br;22;666;750;0.8880
72;ar;25;591;666;0.8874
1837;br;22;3737;4211;0.8874
898;ar;20;181;204;0.8873
597;br;;2113;2382;0.8871
913;br;25;1069;1205;0.8871
1793;pe;36;110;124;0.8871
2012;ar;25;948;1069;0.8868
210;br;23;4537;5117;0.8867
1329;br;21;398;449;0.8864
711;ar;28;1175;1326;0.8861
2696;ar;17;70;79;0.8861
507;br;27;1220;1377;0.8860
2348;br;;2496;2817;0.8860
1099;br;18;2034;2296;0.8859
1347;br;19;2921;3298;0.8857
567;br;20;1897;2142;0.8856
1872;br;27;347;392;0.8852
2452;br;27;2474;2795;0.8852
1222;br;22;3239;3661;0.8847
1257;ar;16;222;251;0.8845
1663;br;23;12469;14097;0.8845
307;br;24;1404;1588;0.8841
2157;br;17;518;586;0.8840
1293;br;22;114;129;0.8837
829;br;31;1010;1143;0.8836
2528;br;27;2391;2708;0.8829
1795;br;18;271;307;0.8827
136;br;21;150;170;0.8824
1076;br;21;15;17;0.8824
2683;br;19;1782;2020;0.8822
2518;br;20;157;178;0.8820
1533;br;;1080;1225;0.8816
431;br;;3926;4454;0.8815
2567;pe;24;89;101;0.8812
1359;br;29;637;723;0.8811
207;br;24;1138;1292;0.8808
1240;br;26;1423;1616;0.8806
751;br;24;368;418;0.8804
435;br;32;403;458;0.8799
2373;br;24;1288;1464;0.8798
339;br;;847;963;0.8795
1094;br;38;552;628;0.8790
809;br;;858;978;0.8773
399;br;33;4723;5384;0.8772
2224;br;31;3534;4029;0.8771
810;br;25;427;487;0.8768
918;br;;269;307;0.8762
484;br;19;622;710;0.8761
630;br;25;3140;3584;0.8761
688;ar;;4554;5198;0.8761
1677;us;21;1979;2259;0.8761
2260;br;32;1420;1621;0.8760
1360;br;25;240;274;0.8759
2264;br;35;10099;11541;0.8751
538;br;22;231;264;0.8750
1714;ar;;489;559;0.8748
2002;br;19;2122;2426;0.8747
2341;br;;90;103;0.8738
557;br;;1210;1385;0.8736
2489;br;28;6166;7060;0.8734
1979;br;;364;417;0.8729
236;br;;849;973;0.8726
805;ar;18;130;149;0.8725
923;br;19;267;306;0.8725
258;br;19;1565;1795;0.8719
1285;br;21;5210;5978;0.8715
2336;br;;61;70;0.8714
2140;br;36;3124;3586;0.8712
634;ar;22;365;419;0.8711
850;br;19;956;1098;0.8707
878;ar;32;3709;4261;0.8705
2310;br;24;47;54;0.8704
705;br;17;1850;2126;0.8702
517;br;20;355;408;0.8701
927;br;28;1196;1375;0.8698
1124;br;;40;46;0.8696
2564;br;22;4176;4804;0.8693
867;ar;24;2357;2712;0.8691
2290;br;20;1738;2000;0.8690
2510;br;;231;266;0.8684
29;ar;21;92;106;0.8679
754;br;26;184;212;0.8679
816;br;21;1017;1172;0.8677
946;ar;31;1343;1548;0.8676
1891;br;22;385;444;0.8671
2629;br;20;176;203;0.8670
373;br;;702;810;0.8667
57;br;22;714;824;0.8665
2133;ar;20;750;866;0.8661
2516;br;;924;1067;0.8660
2617;br;;277;320;0.8656
1695;cl;20;103;119;0.8655
675;br;19;868;1003;0.8654
1836;br;28;1340;1549;0.8651
1447;br;;435;503;0.8648
1820;br;27;3800;4396;0.8644
627;ar;28;672;778;0.8638
410;br;25;95;110;0.8636
477;br;19;1935;2241;0.8635
1553;br;;416;482;0.8631
299;br;28;63;73;0.8630
1747;ar;;107;124;0.8629
222;br;26;383;444;0.8626
763;br;20;275;319;0.8621
2178;ar;22;25;29;0.8621
1155;br;40;468;543;0.8619
2391;br;27;3689;4280;0.8619
1560;br;26;1865;2164;0.8618
2679;br;;106;123;0.8618
359;br;;180;209;0.8612
1012;br;17;167;194;0.8608
1713;br;22;74;86;0.8605
590;br;23;264;307;0.8599
884;br;22;270;314;0.8599
2520;br;;178;207;0.8599
955;br;25;1763;2051;0.8596
2468;uy;22;49;57;0.8596
146;br;25;458;533;0.8593
740;br;24;493;574;0.8589
325;ar;;547;637;0.8587
885;ar;23;394;459;0.8584
40;br;;818;953;0.8583
2370;br;24;277;323;0.8576
423;br;28;30;35;0.8571
843;br;21;1511;1763;0.8571
970;ar;;18;21;0.8571
1284;cl;22;12;14;0.8571
2343;br;31;1166;1361;0.8567
1894;br;27;1366;1595;0.8564
1367;br;;1625;1898;0.8562
1187;br;24;915;1069;0.8559
403;ar;27;1635;1911;0.8556
457;br;17;400;468;0.8547
1117;ar;33;2418;2829;0.8547
1145;br;;41;48;0.8542
890;br;;919;1076;0.8541
1426;br;22;491;575;0.8539
1;cl;;29;34;0.8529
1438;ar;23;626;734;0.8529
2106;py;19;7281;8542;0.8524
1283;br;22;75;88;0.8523
1561;br;;1050;1232;0.8523
546;br;27;897;1053;0.8519
1807;ar;;1505;1767;0.8517
2038;br;23;630;740;0.8514
2611;ar;22;126;148;0.8514
972;br;23;40;47;0.8511
2465;br;49;2843;3343;0.8504
124;br;25;17;20;0.8500
208;ar;;476;560;0.8500
1505;br;23;599;705;0.8496
1488;br;28;316;372;0.8495
444;br;21;643;757;0.8494
376;br;;276;325;0.8492
2275;br;35;399;470;0.8489
1708;br;32;639;753;0.8486
2590;br;24;398;469;0.8486
1429;ar;44;654;771;0.8482
360;br;28;428;505;0.8475
2072;br;32;2168;2559;0.8472
541;br;21;3342;3945;0.8471
1950;br;;2290;2705;0.8466
2282;br;32;265;313;0.8466
1218;br;18;2007;2371;0.8465
746;py;25;678;801;0.8464
1247;br;24;2441;2884;0.8464
1996;ar;;121;143;0.8462
2281;br;;110;130;0.8462
2357;br;17;1639;1937;0.8462
1131;br;;3524;4165;0.8461
1640;ar;35;1484;1754;0.8461
22;ar;;3592;4247;0.8458
879;br;;657;777;0.8456
276;br;;93;110;0.8455
88;br;22;2229;2637;0.8453
202;br;38;5456;6455;0.8452
